date,province,value,sector
2022/1/1,上海市,0,水稻
2022/1/1,云南省,0,水稻
2022/1/1,内蒙古自治区,0,水稻
2022/1/1,北京市,0,水稻
2022/1/1,吉林省,0,水稻
2022/1/1,四川省,0,水稻
2022/1/1,天津市,0,水稻
2022/1/1,宁夏回族自治区,0,水稻
2022/1/1,安徽省,0,水稻
2022/1/1,山东省,0,水稻
2022/1/1,山西省,0,水稻
2022/1/1,广东省,0,水稻
2022/1/1,广西壮族自治区,0,水稻
2022/1/1,新疆维吾尔自治区,0,水稻
2022/1/1,江苏省,0,水稻
2022/1/1,江西省,0,水稻
2022/1/1,河北省,0,水稻
2022/1/1,河南省,0,水稻
2022/1/1,浙江省,0,水稻
2022/1/1,海南省,0,水稻
2022/1/1,湖北省,0,水稻
2022/1/1,湖南省,0,水稻
2022/1/1,甘肃省,0,水稻
2022/1/1,福建省,0,水稻
2022/1/1,西藏自治区,0,水稻
2022/1/1,贵州省,0,水稻
2022/1/1,辽宁省,0,水稻
2022/1/1,重庆市,0,水稻
2022/1/1,陕西省,0,水稻
2022/1/1,黑龙江省,0,水稻
2022/2/1,上海市,0,水稻
2022/2/1,云南省,0,水稻
2022/2/1,内蒙古自治区,0,水稻
2022/2/1,北京市,0,水稻
2022/2/1,吉林省,0,水稻
2022/2/1,四川省,0,水稻
2022/2/1,天津市,0,水稻
2022/2/1,宁夏回族自治区,0,水稻
2022/2/1,安徽省,0,水稻
2022/2/1,山东省,0,水稻
2022/2/1,山西省,0,水稻
2022/2/1,广东省,0,水稻
2022/2/1,广西壮族自治区,0,水稻
2022/2/1,新疆维吾尔自治区,0,水稻
2022/2/1,江苏省,0,水稻
2022/2/1,江西省,0,水稻
2022/2/1,河北省,0,水稻
2022/2/1,河南省,0,水稻
2022/2/1,浙江省,0,水稻
2022/2/1,海南省,0,水稻
2022/2/1,湖北省,0,水稻
2022/2/1,湖南省,0,水稻
2022/2/1,甘肃省,0,水稻
2022/2/1,福建省,0,水稻
2022/2/1,西藏自治区,0,水稻
2022/2/1,贵州省,0,水稻
2022/2/1,辽宁省,0,水稻
2022/2/1,重庆市,0,水稻
2022/2/1,陕西省,0,水稻
2022/2/1,黑龙江省,0,水稻
2022/3/1,上海市,0,水稻
2022/3/1,云南省,0,水稻
2022/3/1,内蒙古自治区,0,水稻
2022/3/1,北京市,0,水稻
2022/3/1,吉林省,0,水稻
2022/3/1,四川省,0,水稻
2022/3/1,天津市,0,水稻
2022/3/1,宁夏回族自治区,0,水稻
2022/3/1,安徽省,0,水稻
2022/3/1,山东省,0,水稻
2022/3/1,山西省,0,水稻
2022/3/1,广东省,0,水稻
2022/3/1,广西壮族自治区,0,水稻
2022/3/1,新疆维吾尔自治区,0,水稻
2022/3/1,江苏省,0,水稻
2022/3/1,江西省,0,水稻
2022/3/1,河北省,0,水稻
2022/3/1,河南省,0,水稻
2022/3/1,浙江省,0,水稻
2022/3/1,海南省,0,水稻
2022/3/1,湖北省,0,水稻
2022/3/1,湖南省,0,水稻
2022/3/1,甘肃省,0,水稻
2022/3/1,福建省,0,水稻
2022/3/1,西藏自治区,0,水稻
2022/3/1,贵州省,0,水稻
2022/3/1,辽宁省,0,水稻
2022/3/1,重庆市,0,水稻
2022/3/1,陕西省,0,水稻
2022/3/1,黑龙江省,0,水稻
2022/4/1,上海市,0,水稻
2022/4/1,云南省,1.521387078,水稻
2022/4/1,内蒙古自治区,0,水稻
2022/4/1,北京市,0,水稻
2022/4/1,吉林省,0,水稻
2022/4/1,四川省,0,水稻
2022/4/1,天津市,0,水稻
2022/4/1,宁夏回族自治区,0,水稻
2022/4/1,安徽省,0.115819379,水稻
2022/4/1,山东省,0,水稻
2022/4/1,山西省,0,水稻
2022/4/1,广东省,25.90245752,水稻
2022/4/1,广西壮族自治区,57.7407428,水稻
2022/4/1,新疆维吾尔自治区,0,水稻
2022/4/1,江苏省,0,水稻
2022/4/1,江西省,0.628418821,水稻
2022/4/1,河北省,0,水稻
2022/4/1,河南省,0,水稻
2022/4/1,浙江省,0.055643967,水稻
2022/4/1,海南省,7.533637234,水稻
2022/4/1,湖北省,4.021340813,水稻
2022/4/1,湖南省,0,水稻
2022/4/1,甘肃省,0,水稻
2022/4/1,福建省,0.040762444,水稻
2022/4/1,西藏自治区,0,水稻
2022/4/1,贵州省,0,水稻
2022/4/1,辽宁省,0,水稻
2022/4/1,重庆市,0,水稻
2022/4/1,陕西省,0,水稻
2022/4/1,黑龙江省,0,水稻
2022/5/1,上海市,1.615201804,水稻
2022/5/1,云南省,5.003032531,水稻
2022/5/1,内蒙古自治区,0.156821098,水稻
2022/5/1,北京市,0.000300003,水稻
2022/5/1,吉林省,0,水稻
2022/5/1,四川省,30.45241989,水稻
2022/5/1,天津市,0.137222553,水稻
2022/5/1,宁夏回族自治区,2.528401305,水稻
2022/5/1,安徽省,16.86869318,水稻
2022/5/1,山东省,2.573997762,水稻
2022/5/1,山西省,0.002583126,水稻
2022/5/1,广东省,58.05087069,水稻
2022/5/1,广西壮族自治区,87.70519242,水稻
2022/5/1,新疆维吾尔自治区,2.811357213,水稻
2022/5/1,江苏省,0,水稻
2022/5/1,江西省,102.676069,水稻
2022/5/1,河北省,0.182119782,水稻
2022/5/1,河南省,0,水稻
2022/5/1,浙江省,14.28491288,水稻
2022/5/1,海南省,24.77412402,水稻
2022/5/1,湖北省,13.22405008,水稻
2022/5/1,湖南省,117.5460656,水稻
2022/5/1,甘肃省,0.081626098,水稻
2022/5/1,福建省,10.20681829,水稻
2022/5/1,西藏自治区,0.00500851,水稻
2022/5/1,贵州省,11.53558458,水稻
2022/5/1,辽宁省,7.441449235,水稻
2022/5/1,重庆市,49.66366694,水稻
2022/5/1,陕西省,3.970505279,水稻
2022/5/1,黑龙江省,27.43575965,水稻
2022/6/1,上海市,4.664691386,水稻
2022/6/1,云南省,15.54728449,水稻
2022/6/1,内蒙古自治区,4.919033078,水稻
2022/6/1,北京市,0.009410256,水稻
2022/6/1,吉林省,19.98726804,水稻
2022/6/1,四川省,175.3950279,水稻
2022/6/1,天津市,4.304282311,水稻
2022/6/1,宁夏回族自治区,14.4281058,水稻
2022/6/1,安徽省,82.24580811,水稻
2022/6/1,山东省,7.433687333,水稻
2022/6/1,山西省,0.081025334,水稻
2022/6/1,广东省,63.17056667,水稻
2022/6/1,广西壮族自治区,9.358432247,水稻
2022/6/1,新疆维吾尔自治区,16.04276949,水稻
2022/6/1,江苏省,54.26942542,水稻
2022/6/1,江西省,100.0513138,水稻
2022/6/1,河北省,5.712581033,水稻
2022/6/1,河南省,12.05214668,水稻
2022/6/1,浙江省,23.85752566,水稻
2022/6/1,海南省,9.12422133,水稻
2022/6/1,湖北省,42.74792637,水稻
2022/6/1,湖南省,48.93579391,水稻
2022/6/1,甘肃省,0.465792349,水稻
2022/6/1,福建省,12.82778986,水稻
2022/6/1,西藏自治区,0.01107305,水稻
2022/6/1,贵州省,25.50341634,水稻
2022/6/1,辽宁省,14.19999109,水稻
2022/6/1,重庆市,57.7904488,水稻
2022/6/1,陕西省,22.65734879,水稻
2022/6/1,黑龙江省,124.0112705,水稻
2022/7/1,上海市,11.49056593,水稻
2022/7/1,云南省,53.76150606,水稻
2022/7/1,内蒙古自治区,9.276069407,水稻
2022/7/1,北京市,0.017745395,水稻
2022/7/1,吉林省,44.00786426,水稻
2022/7/1,四川省,139.737969,水稻
2022/7/1,天津市,8.1168028,水稻
2022/7/1,宁夏回族自治区,1.082887664,水稻
2022/7/1,安徽省,339.6826941,水稻
2022/7/1,山东省,18.31145243,水稻
2022/7/1,山西省,0.152793569,水稻
2022/7/1,广东省,67.93454829,水稻
2022/7/1,广西壮族自治区,16.2740472,水稻
2022/7/1,新疆维吾尔自治区,1.204074701,水稻
2022/7/1,江苏省,320.397559,水稻
2022/7/1,江西省,80.02947019,水稻
2022/7/1,河北省,10.77250291,水稻
2022/7/1,河南省,89.88124882,水稻
2022/7/1,浙江省,44.03190717,水稻
2022/7/1,海南省,6.928508102,水稻
2022/7/1,湖北省,286.1776385,水稻
2022/7/1,湖南省,111.5680256,水稻
2022/7/1,甘肃省,0.034959599,水稻
2022/7/1,福建省,9.613295476,水稻
2022/7/1,西藏自治区,0.011689837,水稻
2022/7/1,贵州省,26.92399706,水稻
2022/7/1,辽宁省,19.76036887,水稻
2022/7/1,重庆市,34.65706974,水稻
2022/7/1,陕西省,1.700525616,水稻
2022/7/1,黑龙江省,129.9716234,水稻
2022/8/1,上海市,5.484435252,水稻
2022/8/1,云南省,60.7756274,水稻
2022/8/1,内蒙古自治区,3.041512308,水稻
2022/8/1,北京市,0.005818503,水稻
2022/8/1,吉林省,25.94928218,水稻
2022/8/1,四川省,122.0944446,水稻
2022/8/1,天津市,2.661402641,水稻
2022/8/1,宁夏回族自治区,0.541443832,水稻
2022/8/1,安徽省,345.3957617,水稻
2022/8/1,山东省,8.740037332,水稻
2022/8/1,山西省,0.050099185,水稻
2022/8/1,广东省,439.1765219,水稻
2022/8/1,广西壮族自治区,123.8624085,水稻
2022/8/1,新疆维吾尔自治区,0.602037351,水稻
2022/8/1,江苏省,155.1984689,水稻
2022/8/1,江西省,392.0380588,水稻
2022/8/1,河北省,3.532174971,水稻
2022/8/1,河南省,129.6803611,水稻
2022/8/1,浙江省,48.41392927,水稻
2022/8/1,海南省,29.45443732,水稻
2022/8/1,湖北省,441.0224346,水稻
2022/8/1,湖南省,476.986058,水稻
2022/8/1,甘肃省,0.017479799,水稻
2022/8/1,福建省,70.45484559,水稻
2022/8/1,西藏自治区,0.010225427,水稻
2022/8/1,贵州省,23.5511725,水稻
2022/8/1,辽宁省,11.24380194,水稻
2022/8/1,重庆市,17.45753141,水稻
2022/8/1,陕西省,0.850262808,水稻
2022/8/1,黑龙江省,78.56192443,水稻
2022/9/1,上海市,1.757012893,水稻
2022/9/1,云南省,22.50199741,水稻
2022/9/1,内蒙古自治区,1.069182,水稻
2022/9/1,北京市,0.002045377,水稻
2022/9/1,吉林省,5.944931006,水稻
2022/9/1,四川省,0,水稻
2022/9/1,天津市,0.935562151,水稻
2022/9/1,宁夏回族自治区,0.056140489,水稻
2022/9/1,安徽省,8.003943871,水稻
2022/9/1,山东省,2.799988982,水稻
2022/9/1,山西省,0.017611353,水稻
2022/9/1,广东省,120.9802035,水稻
2022/9/1,广西壮族自治区,171.6902439,水稻
2022/9/1,新疆维吾尔自治区,0.062423228,水稻
2022/9/1,江苏省,145.2034412,水稻
2022/9/1,江西省,85.1065005,水稻
2022/9/1,河北省,1.241664513,水稻
2022/9/1,河南省,48.9272927,水稻
2022/9/1,浙江省,12.37465541,水稻
2022/9/1,海南省,14.1222747,水稻
2022/9/1,湖北省,169.8128441,水稻
2022/9/1,湖南省,147.2808505,水稻
2022/9/1,甘肃省,0.001812422,水稻
2022/9/1,福建省,14.51712746,水稻
2022/9/1,西藏自治区,0.001927454,水稻
2022/9/1,贵州省,4.439307335,水稻
2022/9/1,辽宁省,10.80830566,水稻
2022/9/1,重庆市,0,水稻
2022/9/1,陕西省,0.08816089,水稻
2022/9/1,黑龙江省,7.76896781,水稻
2022/10/1,上海市,0.253095764,水稻
2022/10/1,云南省,0.631161226,水稻
2022/10/1,内蒙古自治区,0.008440079,水稻
2022/10/1,北京市,1.61E-05,水稻
2022/10/1,吉林省,0,水稻
2022/10/1,四川省,0,水稻
2022/10/1,天津市,0.00738529,水稻
2022/10/1,宁夏回族自治区,0,水稻
2022/10/1,安徽省,0.103161943,水稻
2022/10/1,山东省,0.403335316,水稻
2022/10/1,山西省,0.000139023,水稻
2022/10/1,广东省,14.96971916,水稻
2022/10/1,广西壮族自治区,87.65515895,水稻
