date,province,sector,value,department
2010-01-01,Anhui,household_wastewater,4.279832751703326,Wastewater
2010-01-01,Anhui,agricultural_wastewater,0.8308145833333335,Wastewater
2010-01-01,Anhui,industrial_wastewater,4.434119231016988,Wastewater
2010-02-01,Anhui,household_wastewater,4.279832751703326,Wastewater
2010-02-01,Anhui,agricultural_wastewater,0.8308145833333335,Wastewater
2010-02-01,Anhui,industrial_wastewater,4.038468743310377,Wastewater
2010-03-01,Anhui,household_wastewater,4.279832751703326,Wastewater
2010-03-01,Anhui,agricultural_wastewater,0.8308145833333335,Wastewater
2010-03-01,Anhui,industrial_wastewater,4.816796954946878,Wastewater
2010-04-01,Anhui,household_wastewater,4.279832751703326,Wastewater
2010-04-01,Anhui,agricultural_wastewater,0.8308145833333335,Wastewater
2010-04-01,Anhui,industrial_wastewater,4.429163413074796,Wastewater
2010-05-01,Anhui,household_wastewater,4.279832751703326,Wastewater
2010-05-01,Anhui,agricultural_wastewater,0.8308145833333335,Wastewater
2010-05-01,Anhui,industrial_wastewater,4.5342507278787485,Wastewater
2010-06-01,Anhui,household_wastewater,4.279832751703326,Wastewater
2010-06-01,Anhui,agricultural_wastewater,0.8308145833333335,Wastewater
2010-06-01,Anhui,industrial_wastewater,4.175549392526813,Wastewater
2010-07-01,Anhui,household_wastewater,4.279832751703326,Wastewater
2010-07-01,Anhui,agricultural_wastewater,0.8308145833333335,Wastewater
2010-07-01,Anhui,industrial_wastewater,4.0331721539981675,Wastewater
2010-08-01,Anhui,household_wastewater,4.279832751703326,Wastewater
2010-08-01,Anhui,agricultural_wastewater,0.8308145833333335,Wastewater
2010-08-01,Anhui,industrial_wastewater,3.869071277725796,Wastewater
2010-09-01,Anhui,household_wastewater,4.279832751703326,Wastewater
2010-09-01,Anhui,agricultural_wastewater,0.8308145833333335,Wastewater
2010-09-01,Anhui,industrial_wastewater,4.70026236970001,Wastewater
2010-10-01,Anhui,household_wastewater,4.279832751703326,Wastewater
2010-10-01,Anhui,agricultural_wastewater,0.8308145833333335,Wastewater
2010-10-01,Anhui,industrial_wastewater,4.302478087629956,Wastewater
2010-11-01,Anhui,household_wastewater,4.279832751703326,Wastewater
2010-11-01,Anhui,agricultural_wastewater,0.8308145833333335,Wastewater
2010-11-01,Anhui,industrial_wastewater,4.119305744918894,Wastewater
2010-12-01,Anhui,household_wastewater,4.279832751703326,Wastewater
2010-12-01,Anhui,agricultural_wastewater,0.8308145833333335,Wastewater
2010-12-01,Anhui,industrial_wastewater,4.663986903272578,Wastewater
2010-01-01,Beijing,household_wastewater,3.215293765497143,Wastewater
2010-01-01,Beijing,agricultural_wastewater,0.17019166666666669,Wastewater
2010-01-01,Beijing,industrial_wastewater,0.40741950033241064,Wastewater
